"Carrier Name","Year","Category","Value"
"ATA Airlines","2004","National Avaiation System Delay",9.62910251148505
"ATA Airlines","2004","Cancelled / Diverted",0.982352084519349
"ATA Airlines","2005","Weather Delay",0.0825908544741436
"ATA Airlines","2005","Security Delay",0.113695617674398
"ATA Airlines","2005","Late Arrival",4.47099231449364
"ATA Airlines","2005","Carrier Delay",2.9500328731098
"ATA Airlines","2005","National Avaiation System Delay",9.86420004987644
"ATA Airlines","2005","Cancelled / Diverted",1.18569906368315
"ATA Airlines","2006","Weather Delay",0.0899908172635445
"ATA Airlines","2006","Security Delay",0.204928068564432
"ATA Airlines","2006","Late Arrival",8.83093561881441
"ATA Airlines","2006","Carrier Delay",5.13998571574329
"ATA Airlines","2006","National Avaiation System Delay",15.083971023365
"ATA Airlines","2006","Cancelled / Diverted",1.20906029996939
"Atlantic Coast Airlines","2003","Weather Delay",1.45359734335484
"Atlantic Coast Airlines","2003","Security Delay",0.0304131508662459
"Atlantic Coast Airlines","2003","Carrier Delay",6.44166725755749
"Atlantic Coast Airlines","2003","Cancelled / Diverted",3.16244770616181
"Atlantic Coast Airlines","2003","National Avaiation System Delay",7.31288851071876
"Atlantic Coast Airlines","2003","Late Arrival",3.98903897515895
"Atlantic Coast Airlines","2004","Weather Delay",0.588602562789314
"Atlantic Coast Airlines","2004","Security Delay",0.0150187063133198
"Atlantic Coast Airlines","2004","Carrier Delay",4.22320753520543
"Atlantic Coast Airlines","2004","Cancelled / Diverted",3.57883235533703
"Atlantic Coast Airlines","2004","National Avaiation System Delay",7.29174044319573
"Atlantic Coast Airlines","2004","Late Arrival",10.5816175717401
"Atlantic Southeast Airlines","2003","Security Delay",0.0537895436193591
"Atlantic Southeast Airlines","2003","Carrier Delay",6.78353861092656
"Atlantic Southeast Airlines","2003","National Avaiation System Delay",8.43899805795472
"Atlantic Southeast Airlines","2003","Cancelled / Diverted",2.13113916287627
"Atlantic Southeast Airlines","2003","Weather Delay",1.72019854857669
"Atlantic Southeast Airlines","2003","Late Arrival",4.62148004292942
"Atlantic Southeast Airlines","2004","Security Delay",0.0528004991734233
"Atlantic Southeast Airlines","2004","Carrier Delay",6.39909488956864
"Atlantic Southeast Airlines","2004","National Avaiation System Delay",8.47090485941024
"Atlantic Southeast Airlines","2004","Cancelled / Diverted",2.87490900484471
"Atlantic Southeast Airlines","2004","Weather Delay",3.69807179921179
"Atlantic Southeast Airlines","2004","Late Arrival",2.17949802948422
"Atlantic Southeast Airlines","2005","Security Delay",0.0324047175911793
"Atlantic Southeast Airlines","2005","Carrier Delay",8.89118881853424
"Atlantic Southeast Airlines","2005","National Avaiation System Delay",8.75456840211786
"Atlantic Southeast Airlines","2005","Cancelled / Diverted",4.75337029414371
"Atlantic Southeast Airlines","2005","Weather Delay",3.82404225218039
"Atlantic Southeast Airlines","2005","Late Arrival",2.88446300144101
"Atlantic Southeast Airlines","2006","Security Delay",0.063146410488279
"Atlantic Southeast Airlines","2006","Carrier Delay",12.0396751884544
"Atlantic Southeast Airlines","2006","National Avaiation System Delay",11.1389235675086
"Atlantic Southeast Airlines","2006","Cancelled / Diverted",2.67405717884039
"Atlantic Southeast Airlines","2006","Weather Delay",4.39910230172474
"Atlantic Southeast Airlines","2006","Late Arrival",3.68445832402807
"Atlantic Southeast Airlines","2007","Security Delay",0.041686172851583
"Atlantic Southeast Airlines","2007","Carrier Delay",15.4102727139334
"Atlantic Southeast Airlines","2007","National Avaiation System Delay",7.87276144692804
"Atlantic Southeast Airlines","2007","Cancelled / Diverted",3.35983845385244
"Atlantic Southeast Airlines","2007","Weather Delay",3.22153203323155
"Atlantic Southeast Airlines","2007","Late Arrival",5.36015637555287
"Atlantic Southeast Airlines","2008","Security Delay",0.0273545397843714
"Atlantic Southeast Airlines","2008","Carrier Delay",9.40970863405506
"Atlantic Southeast Airlines","2008","National Avaiation System Delay",7.89926757551457
